stage,stage_reason,title,category_hint,file_type,size_mb,priority,candidate_path
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,초등학교 학부모 수학 가이드북(4학년1학기) (2),상담_학부모,pdf,25.00,3,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(4학년1학기)_(2).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,초등학교 학부모 수학 가이드북(4학년2학기) (2),상담_학부모,pdf,24.19,3,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(4학년2학기)_(2).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,2026자연계열 자연계열 제시문 면접준비,상담_학부모,pdf,23.93,3,/Volumes/Untitled/업로드 후보_v2/기타/2026자연계열_자연계열_제시문_면접준비.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,초등학교 학부모 수학 가이드북(2학년1학기) (2),상담_학부모,pdf,21.03,3,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(2학년1학기)_(2).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,초등학교 학부모 수학 가이드북(3학년1학기) (2),상담_학부모,pdf,20.64,3,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(3학년1학기)_(2).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,초등학교 학부모 수학 가이드북(2학년2학기) (2),상담_학부모,pdf,20.41,3,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(2학년2학기)_(2).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,초등학교 학부모 수학 가이드북(3학년2학기) (2),상담_학부모,pdf,20.35,3,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(3학년2학기)_(2).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,초등학교 학부모 수학 가이드북(1학년2학기) (2),상담_학부모,pdf,19.74,3,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(1학년2학기)_(2).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,NEW 태재대학교 2026입학설명회 20251201,상담_학부모,pdf,12.19,3,/Volumes/Untitled/업로드 후보_v2/기타/NEW_태재대학교_2026입학설명회_20251201.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,학부모연수 2교시 김재선 학생성공시대를 실현하는 학생 선택 교육과정의 이해와 실제,상담_학부모,pdf,8.55,3,/Volumes/Untitled/업로드 후보_v2/기타/학부모연수_2교시_김재선_학생성공시대를_실현하는_학생_선택_교육과정의_이해와_실제.pdf
