batch_no,order_in_batch,source,title,category_hint,file_type,size_mb,candidate_path
batch_2,8,wave1,[이즈유 경희대 진로진학 워크숍 자료해석 권정안],입시_진학,pdf,5.37,/Volumes/Untitled/업로드 후보_v2/기타/[이즈유_경희대_진로진학_워크숍_자료해석_권정안].pdf
batch_2,9,wave1,AI 인재 양성 정책과 학원의 AI 대응 기회 창출 전략 리포트,정책_공문,pdf,5.72,/Volumes/Untitled/업로드 후보_v2/기타/AI_인재_양성_정책과_학원의_AI_대응_기회_창출_전략_리포트.pdf
batch_2,10,wave1,초등학교 학부모 수학 가이드북(3학년2학기) (2),상담_학부모,pdf,20.35,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(3학년2학기)_(2).pdf
batch_2,11,promoted30,2025 중등 논술형 평가 길라잡이,수업_교재,pdf,6.16,/Volumes/Untitled/업로드 후보_v2/기타/2025_중등_논술형_평가_길라잡이.pdf
batch_2,12,wave1,(D강좌 1차시) 2028학년도 대입제도 개편의 이해와 준비,입시_진학,pdf,5.61,/Volumes/Untitled/업로드 후보_v2/기타/(D강좌_1차시)_2028학년도_대입제도_개편의_이해와_준비.pdf
batch_2,13,wave1,[경상남도교육청] 학점기반 교육과정 설계운영을 위한 연수자료 (2025),정책_공문,pdf,6.35,/Volumes/Untitled/업로드 후보_v2/기타/[경상남도교육청]_학점기반_교육과정_설계운영을_위한_연수자료_(2025).pdf
batch_2,14,wave1,2026자연계열 자연계열 제시문 면접준비,상담_학부모,pdf,23.93,/Volumes/Untitled/업로드 후보_v2/기타/2026자연계열_자연계열_제시문_면접준비.pdf
batch_2,15,promoted30,[IT&Future Strategy 2025-5] 글로벌 AI∙디지털 혁신 사례로 본 국내 기업 AX 전략,수업_교재,pdf,6.86,/Volumes/Untitled/업로드 후보_v2/기타/[IT&Future_Strategy_2025-5]_글로벌_AI∙디지털_혁신_사례로_본_국내_기업_AX_전략.pdf
batch_2,16,wave1,2026 대입 수시 합격드림 설명회 2부 상문고 박창욱선생님,입시_진학,pdf,6.56,/Volumes/Untitled/업로드 후보_v2/기타/2026_대입_수시_합격드림_설명회_2부_상문고_박창욱선생님.pdf
batch_2,17,promoted30,생성형 AI의 발달이 대학 전공에 미치는 영향 by 미래채널 MyF 20250614,수업_교재,pdf,7.49,/Volumes/Untitled/업로드 후보_v2/기타/생성형_AI의_발달이_대학_전공에_미치는_영향_by_미래채널_MyF_from_Youtube_to_Gamma_20250614.pdf
batch_2,18,promoted30,붙임 5극3특 국가균형성장 추진전략 설계도안(요약+전체) (1),수업_교재,hwp,7.80,/Volumes/Untitled/업로드 후보_v2/기타/붙임_5극3특_국가균형성장_추진전략_설계도안(요약+전체)_(1).hwp
batch_2,19,promoted30,우리몸모형자료모음집(웹용),수업_교재,pdf,8.18,/Volumes/Untitled/업로드 후보_v2/기타/우리몸모형자료모음집(웹용).pdf
batch_2,20,promoted30,인류와 AI의 결합이 가져올 소름 끼치는 미래 by 선명한 지구인 with 레이 커즈와일 20250621,수업_교재,pdf,8.38,/Volumes/Untitled/업로드 후보_v2/기타/인류와_AI의_결합이_가져올_소름_끼치는_미래_by_선명한_지구인_with_레이_커즈와일_from_Youtube_to_Gamma_20250621.pdf
batch_2,21,promoted30,[해군사관학교] 2026년 2월의 추천도서,수업_교재,pdf,8.80,/Volumes/Untitled/업로드 후보_v2/기타/[해군사관학교]_2026년_2월의_추천도서.pdf
batch_2,22,wave1,2025 중등 교과별 논술형 평가 문항(영어),수업_교재,pdf,10.58,/Volumes/Untitled/업로드 후보_v2/기타/2025_중등_교과별_논술형_평가_문항(영어).pdf
batch_3,1,promoted30,250617 대한민국 진짜성장을 위한 전략,수업_교재,pdf,5.26,/Volumes/Untitled/업로드 후보_v2/기타/250617_대한민국_진짜성장을_위한_전략.pdf
