path,filename,ext,size_bytes,category_hint
"/Volumes/Untitled/업로드 전/(붙임2) 2026학년도 대학수학능력시험 선택과목별(4-5교시) 지원자 현황.pdf","(붙임2) 2026학년도 대학수학능력시험 선택과목별(4-5교시) 지원자 현황.pdf",pdf,53667,"기타"
"/Volumes/Untitled/업로드 전/(요약) 2025 KB골든라이프 보고서.pdf","(요약) 2025 KB골든라이프 보고서.pdf",pdf,1710168,"기타"
"/Volumes/Untitled/업로드 전/(원고) 2026~2027 대입전형의 이해와 효율적인 지도 방안(숭의여교-정제원) (1).pdf","(원고) 2026~2027 대입전형의 이해와 효율적인 지도 방안(숭의여교-정제원) (1).pdf",pdf,6766981,"기타"
"/Volumes/Untitled/업로드 전/(원고) 2028 대입전형의 이해와 효율적인 지도방안(성신고 손득운).pdf","(원고) 2028 대입전형의 이해와 효율적인 지도방안(성신고 손득운).pdf",pdf,3211529,"기타"
"/Volumes/Untitled/업로드 전/(이정민) 미래대학교육 방향과 학생맞춤형 교육 성과.pdf","(이정민) 미래대학교육 방향과 학생맞춤형 교육 성과.pdf",pdf,9024944,"기타"
"/Volumes/Untitled/업로드 전/(이즈유) 의대입시 약간 참조사항_김세형.pdf","(이즈유) 의대입시 약간 참조사항_김세형.pdf",pdf,884456,"기타"
"/Volumes/Untitled/업로드 전/(이투스 밴드) 2026 수능 준비물&주의사항.pdf","(이투스 밴드) 2026 수능 준비물&주의사항.pdf",pdf,77448,"기타"
"/Volumes/Untitled/업로드 전/(이투스) 고3_2024학년도 수능 지원참고표(가채점).xlsx","(이투스) 고3_2024학년도 수능 지원참고표(가채점).xlsx",xlsx,2086857,"기타"
"/Volumes/Untitled/업로드 전/(이투스) 고3_2026_9월모평-국수_원점수_조합별_표준점수_20250904.xlsx","(이투스) 고3_2026_9월모평-국수_원점수_조합별_표준점수_20250904.xlsx",xlsx,541269,"기타"
"/Volumes/Untitled/업로드 전/(이투스) 고3_2026_9월모평-국수_원점수_조합별_표준점수.xlsx","(이투스) 고3_2026_9월모평-국수_원점수_조합별_표준점수.xlsx",xlsx,541269,"기타"
"/Volumes/Untitled/업로드 전/(이투스) 고3_2026학년도 6월모평_지원참고표(실채점).xlsx","(이투스) 고3_2026학년도 6월모평_지원참고표(실채점).xlsx",xlsx,1523969,"기타"
"/Volumes/Untitled/업로드 전/(이투스) 고3_2026학년도 9월_상위누적(가채점)_밴드용_20250904.xls","(이투스) 고3_2026학년도 9월_상위누적(가채점)_밴드용_20250904.xls",xls,14223360,"기타"
"/Volumes/Untitled/업로드 전/(이투스) 고3_2026학년도 9월_상위누적(가채점)_밴드용.xls","(이투스) 고3_2026학년도 9월_상위누적(가채점)_밴드용.xls",xls,14224896,"기타"
"/Volumes/Untitled/업로드 전/(이투스) 고3_2026학년도 9월_지원참고표(가채점)_20250904.xlsx","(이투스) 고3_2026학년도 9월_지원참고표(가채점)_20250904.xlsx",xlsx,1620489,"기타"
"/Volumes/Untitled/업로드 전/(이투스) 고3_2026학년도 9월_지원참고표(가채점).xlsx","(이투스) 고3_2026학년도 9월_지원참고표(가채점).xlsx",xlsx,1620489,"기타"
"/Volumes/Untitled/업로드 전/(이투스) 고3_2026학년도 9월_지원참고표(실채점).xlsx","(이투스) 고3_2026학년도 9월_지원참고표(실채점).xlsx",xlsx,4393518,"기타"
"/Volumes/Untitled/업로드 전/(이투스) 고3_2026학년도 9월모평 상위누적(실채점)_밴드용.xls","(이투스) 고3_2026학년도 9월모평 상위누적(실채점)_밴드용.xls",xls,26197504,"기타"
"/Volumes/Untitled/업로드 전/(이투스밴드) 2026학년도 수능 시간대별 행동 강령_배포용.pdf","(이투스밴드) 2026학년도 수능 시간대별 행동 강령_배포용.pdf",pdf,109250,"기타"
"/Volumes/Untitled/업로드 전/(이투스에듀) 2026_대비_경쟁률검색기_ver2.xlsb","(이투스에듀) 2026_대비_경쟁률검색기_ver2.xlsb",xlsb,18879313,"기타"
"/Volumes/Untitled/업로드 전/(인천교육청) 2026학년도 고등학교 입학 선호도 조사결과(1차).xlsx","(인천교육청) 2026학년도 고등학교 입학 선호도 조사결과(1차).xlsx",xlsx,35962,"기타"
"/Volumes/Untitled/업로드 전/(주)넥소 박종근.pdf","(주)넥소 박종근.pdf",pdf,68305,"기타"
"/Volumes/Untitled/업로드 전/(중학교 교사용)반구천의 암각화_ 시간의 강을 건너다.pdf","(중학교 교사용)반구천의 암각화_ 시간의 강을 건너다.pdf",pdf,3116461,"기타"
"/Volumes/Untitled/업로드 전/(중학교 학생용)반구천의 암각화_ 시간의 강을 건너다.pdf","(중학교 학생용)반구천의 암각화_ 시간의 강을 건너다.pdf",pdf,2209278,"기타"
"/Volumes/Untitled/업로드 전/(중학교) 달라진 창체 무엇이든 물어보세요_대구광역시교육청.pdf","(중학교) 달라진 창체 무엇이든 물어보세요_대구광역시교육청.pdf",pdf,1230075,"기타"
"/Volumes/Untitled/업로드 전/(중학교) 달라진 창체 무엇이든 물어보세요.pdf","(중학교) 달라진 창체 무엇이든 물어보세요.pdf",pdf,1236443,"기타"
"/Volumes/Untitled/업로드 전/(최영득 소장)2026학년도 전국단위자사고 및 특목고 1단계 내신 점수 계산 프로그램 VER6.2.xlsx","(최영득 소장)2026학년도 전국단위자사고 및 특목고 1단계 내신 점수 계산 프로그램 VER6.2.xlsx",xlsx,169737,"기타"
"/Volumes/Untitled/업로드 전/(홈페이지탑재)서울 중학교 학생 학부모 대상 고교학점제 설명회.pdf","(홈페이지탑재)서울 중학교 학생 학부모 대상 고교학점제 설명회.pdf",pdf,7566991,"기타"
"/Volumes/Untitled/업로드 전/(C강좌 1차시) 고교학점제에 따른 선택과목 지도 방안.pdf","(C강좌 1차시) 고교학점제에 따른 선택과목 지도 방안.pdf",pdf,7148383,"기타"
