title,description,file_type,access_level,download_cost,candidate_path,category_hint,priority,size_mb,promotion_note
붙임 5극3특 국가균형성장 추진전략 설계도안(요약+전체) (1),수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,hwp,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/붙임_5극3특_국가균형성장_추진전략_설계도안(요약+전체)_(1).hwp,수업_교재,2,7.80,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
외국보다 더 멋진 대한민국 여행지 5곳 by 여행 브로셔 20230507,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/외국보다_더_멋진_대한민국_여행지_5곳_by_여행_브로셔_from_Youtube_to_Gamma_20230507.pdf,수업_교재,2,7.81,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
대학입학 용어사전,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/대학입학_용어사전.pdf,수업_교재,2,7.91,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
서울대생이 추천하는 '중·고등학교 때 꼭 읽어보면 좋을 책 by 스튜디오S 20240827,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/서울대생이_추천하는_'중·고등학교_때_꼭_읽어보면_좋을_책_by_스튜디오S_from_Youtube_to_Gamma_20240827.pdf,수업_교재,2,8.12,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
우리몸모형자료모음집(웹용),수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/우리몸모형자료모음집(웹용).pdf,수업_교재,2,8.18,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
2025 KB골든라이프 보고서,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/2025_KB골든라이프_보고서.pdf,수업_교재,2,8.22,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
2025 디지털 튜터 업무길라잡이,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/2025_디지털_튜터_업무길라잡이.pdf,수업_교재,2,8.32,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
독서 방법론 과외식 설명 자료,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/독서_방법론_과외식_설명_자료.pdf,수업_교재,2,8.32,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
인류와 AI의 결합이 가져올 소름 끼치는 미래 by 선명한 지구인 with 레이 커즈와일 20250621,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/인류와_AI의_결합이_가져올_소름_끼치는_미래_by_선명한_지구인_with_레이_커즈와일_from_Youtube_to_Gamma_20250621.pdf,수업_교재,2,8.38,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
Sam Altman Thinks-We Need To Change Our Social Contract 인공지능 시대의 사회 계약 변화 20250205,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/Sam_Altman_Thinks-We_Need_To_Change_Our_Social_Contract_인공지능_시대의_사회_계약_변화_from_Youtube_to_Gamma_20250205.pdf,수업_교재,2,8.41,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
(이정민) 미래대학교육 방향과 학생맞춤형 교육 성과,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/(이정민)_미래대학교육_방향과_학생맞춤형_교육_성과.pdf,수업_교재,2,8.61,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
[해군사관학교] 2026년 2월의 추천도서,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/[해군사관학교]_2026년_2월의_추천도서.pdf,수업_교재,2,8.80,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
20231216 블랙홀 김창석,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/20231216_블랙홀_김창석.pdf,수업_교재,2,8.86,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
