wave,title,category_hint,file_type,size_mb,candidate_path
wave2,2028학년도 대학입학전형기본사항 한국대학교육협의회 by Google NotebookLM Slide 요약 20251205 작업,입시_진학,pdf,16.34,/Volumes/Untitled/업로드 후보_v2/기타/2028학년도_대학입학전형기본사항_한국대학교육협의회_by_Google_NotebookLM_Slide_요약_20251205_작업.pdf
wave2,2025학년도 울산교육청 대입 수시 면접후기 자료집,입시_진학,pdf,17.02,/Volumes/Untitled/업로드 후보_v2/기타/2025학년도_울산교육청_대입_수시_면접후기_자료집.pdf
wave2,2026음악대학입시의이해,입시_진학,pdf,17.18,/Volumes/Untitled/업로드 후보_v2/기타/2026음악대학입시의이해.pdf
wave2,오대교대표님강연회& 겨울학기 설명회 기획,입시_진학,hwp,17.25,/Volumes/Untitled/업로드 후보_v2/기타/오대교대표님강연회&_겨울학기_설명회_기획.hwp
wave2,내신 대비 이대로만 따라하자!!,입시_진학,pdf,19.52,/Volumes/Untitled/업로드 후보_v2/기타/내신_대비_이대로만_따라하자!!.pdf
wave2,김영일교육컨설팅 2026 수시배치표(자연1면),입시_진학,pdf,19.71,/Volumes/Untitled/업로드 후보_v2/기타/김영일교육컨설팅_2026_수시배치표(자연1면).pdf
wave2,2026 수시 대학별 입학설명회 이화성균중앙건국,입시_진학,pdf,25.85,/Volumes/Untitled/업로드 후보_v2/기타/2026_수시_대학별_입학설명회_이화성균중앙건국.pdf
wave2,2026학년도 광주광역시 고등학교 입학전형 기본계획 설명회(학부모 대상),입시_진학,pdf,40.60,/Volumes/Untitled/업로드 후보_v2/기타/2026학년도_광주광역시_고등학교_입학전형_기본계획_설명회(학부모_대상).pdf
wave2,2026 수시 대학별 입학설명회 한양경희동국서강,입시_진학,pdf,49.31,/Volumes/Untitled/업로드 후보_v2/기타/2026_수시_대학별_입학설명회_한양경희동국서강.pdf
wave2,고등학생을 위한 진로연계교육(수능전) 서울특별시교육청,입시_진학,pdf,54.70,/Volumes/Untitled/업로드 후보_v2/기타/고등학생을_위한_진로연계교육(수능전)_서울특별시교육청.pdf
wave2,2-1.꿈을 디자인하는 진로·진학·직업 로드맵 (중학교) 인천광역시교육청,입시_진학,pdf,65.70,/Volumes/Untitled/업로드 후보_v2/기타/2-1.꿈을_디자인하는_진로·진학·직업_로드맵_(중학교)_인천광역시교육청.pdf
wave2,22개정 중학 국어1 토의토론배움깊이더하기자료집(학생용),정책_공문,pdf,5.48,/Volumes/Untitled/업로드 후보_v2/기타/22개정_중학_국어1_토의토론배움깊이더하기자료집(학생용).pdf
wave2,2025년 신입생 학부모를 위한 고등학교 안내서 경기도교육청,정책_공문,pdf,5.50,/Volumes/Untitled/업로드 후보_v2/기타/2025년_신입생_학부모를_위한_고등학교_안내서_경기도교육청.pdf
wave2,22개정 중학 국어1 토의토론배움깊이더하기자료집(교사용),정책_공문,pdf,5.62,/Volumes/Untitled/업로드 후보_v2/기타/22개정_중학_국어1_토의토론배움깊이더하기자료집(교사용).pdf
wave2,2022개정 한눈에 보는 진로 자료 모음집(중고공통),정책_공문,pdf,5.63,/Volumes/Untitled/업로드 후보_v2/기타/2022개정_한눈에_보는_진로_자료_모음집(중고공통).pdf
wave2,[도교육청]2026. 면접자료 정리해DREAM,정책_공문,pdf,5.66,/Volumes/Untitled/업로드 후보_v2/기타/[도교육청]2026._면접자료_정리해DREAM.pdf
wave2,AI 인재 양성 정책과 학원의 AI 대응 기회 창출 전략 리포트,정책_공문,pdf,5.72,/Volumes/Untitled/업로드 후보_v2/기타/AI_인재_양성_정책과_학원의_AI_대응_기회_창출_전략_리포트.pdf
wave2,2025학년도 예비 고1 학부모 대상 고등학교 교육과정 및 고교학점제 연수 자료 부산진고 이창현 교사 부산광역시교육청 고교학점제 지원센터,정책_공문,pdf,5.84,/Volumes/Untitled/업로드 후보_v2/기타/2025학년도_예비_고1_학부모_대상_고등학교_교육과정_및_고교학점제_연수_자료_부산진고_이창현_교사_부산광역시교육청_고교학점제_지원센터.pdf
wave2,[서울]2025학년도 2022 개정 교육과정 선택 과목 안내서(낱장) (250529),정책_공문,pdf,5.84,/Volumes/Untitled/업로드 후보_v2/기타/[서울]2025학년도_2022_개정_교육과정_선택_과목_안내서(낱장)_(250529).pdf
wave2,[세종시교육청] 2024 보인다 9.0 대학 전공학과 길라잡이,정책_공문,pdf,6.09,/Volumes/Untitled/업로드 후보_v2/기타/[세종시교육청]_2024_보인다_9.0_대학_전공학과_길라잡이.pdf
wave2,[경상남도교육청] 학점기반 교육과정 설계운영을 위한 연수자료 (2025),정책_공문,pdf,6.35,/Volumes/Untitled/업로드 후보_v2/기타/[경상남도교육청]_학점기반_교육과정_설계운영을_위한_연수자료_(2025).pdf
wave2,[광주시교육청] 빛고을 진로학업설계서 (2025),정책_공문,pdf,6.61,/Volumes/Untitled/업로드 후보_v2/기타/[광주시교육청]_빛고을_진로학업설계서_(2025).pdf
wave2,[교육부] 진로연계교육 설계를 위한 디딤돌안내서 (고등학교),정책_공문,pdf,6.69,/Volumes/Untitled/업로드 후보_v2/기타/[교육부]_진로연계교육_설계를_위한_디딤돌안내서_(고등학교).pdf
wave2,[교육부] 진로연계교육 설계를 위한 디딤돌안내서 (중학교),정책_공문,pdf,6.74,/Volumes/Untitled/업로드 후보_v2/기타/[교육부]_진로연계교육_설계를_위한_디딤돌안내서_(중학교).pdf
wave2,(C강좌 1차시) 고교학점제에 따른 선택과목 지도 방안,정책_공문,pdf,6.82,/Volumes/Untitled/업로드 후보_v2/기타/(C강좌_1차시)_고교학점제에_따른_선택과목_지도_방안.pdf
wave2,(홈페이지탑재)서울 중학교 학생 학부모 대상 고교학점제 설명회,정책_공문,pdf,7.22,/Volumes/Untitled/업로드 후보_v2/기타/(홈페이지탑재)서울_중학교_학생_학부모_대상_고교학점제_설명회.pdf
wave2,2025 대학별 논술 문항 분석 및 지원 전략 I 경기교육청 20250817,정책_공문,pdf,7.30,/Volumes/Untitled/업로드 후보_v2/기타/2025_대학별_논술_문항_분석_및_지원_전략_I_경기교육청_20250817.pdf
wave2,[충청남도교육청] 2026학년도 제시문기반 면접대비 자료집(수학),정책_공문,pdf,8.35,/Volumes/Untitled/업로드 후보_v2/기타/[충청남도교육청]_2026학년도_제시문기반_면접대비_자료집(수학).pdf
wave2,학부모연수 1교시 임진택 고교학점제에 따른 진로 학업 설계 방향,정책_공문,pdf,8.98,/Volumes/Untitled/업로드 후보_v2/기타/학부모연수_1교시_임진택_고교학점제에_따른_진로_학업_설계_방향.pdf
