id,title,derived_category,file_type,downloads_count,created_at
51,최종 수능대비 수1수2미적 기본공식,입시/진학,pdf,0,2026-03-06T08:28:03.825595+00:00
52,2025학년도 예비 고1 학부모 대상 고등학교 교육과정 및 고교학점제 연수 자료 부산진고 이창현 교사 부산광역시교육청 고교학점제 지원센터,정책/공문,pdf,0,2026-03-06T08:28:05.258627+00:00
53,초등학교 학부모 수학 가이드북(2학년2학기) (2),상담/학부모,pdf,0,2026-03-06T08:28:08.319906+00:00
54,빅뱅에서 고대 문명까지 지구와 인류의 초기 역사 개관 by 쏨작가의 지식사전 20200929,수업/교재,pdf,0,2026-03-06T08:28:10.022319+00:00
55,최종 수능대비 수1수2확통 기본공식,입시/진학,pdf,0,2026-03-06T08:28:11.53812+00:00
56,[광주시교육청] 빛고을 진로학업설계서 (2025),정책/공문,pdf,0,2026-03-06T08:28:13.166585+00:00
57,57번 샘플 공통수학1 중간 서술형 교재 '주도권',수업/교재,pdf,0,2026-03-06T08:28:14.733247+00:00
58,2024 학부모 질문·진학 Q&A 100선 요약 1장 2022 개정 교육과정 및 정책 by 세종특별자치시교육청 진로교육원,입시/진학,pdf,0,2026-03-06T08:28:16.195829+00:00
59,교과서를 활용한 탐구활동,수업/교재,pdf,0,2026-03-06T08:28:18.516638+00:00
60,외국보다 더 멋진 대한민국 여행지 5곳 by 여행 브로셔 20230507,수업/교재,pdf,0,2026-03-06T08:28:20.732668+00:00
61,2025 KB골든라이프 보고서,수업/교재,pdf,0,2026-03-06T08:28:23.032108+00:00
62,Sam Altman Thinks-We Need To Change Our Social Contract 인공지능 시대의 사회 계약 변화 20250205,수업/교재,pdf,0,2026-03-06T08:28:25.174337+00:00
63,20231216 블랙홀 김창석,수업/교재,pdf,0,2026-03-06T08:28:27.947114+00:00
64,2024 통일의식 조사 서울대학교 통일평화연구원 20241130,수업/교재,pdf,0,2026-03-06T08:35:10.779102+00:00
65,김영일교육컨설팅 2026 수시배치표(인문1면),입시/진학,pdf,0,2026-03-06T08:35:12.447982+00:00
66,2022개정 한눈에 보는 진로 자료 모음집(중고공통),정책/공문,pdf,0,2026-03-06T08:35:14.127418+00:00
67,NEW 태재대학교 2026입학설명회 20251201,상담/학부모,pdf,0,2026-03-06T08:35:16.601963+00:00
68,9 v0721 바이오리포트 기타 최종,수업/교재,pdf,0,2026-03-06T08:35:18.266045+00:00
69,(강좌3) 어디가를 활용한 진로진학설계 방안,입시/진학,pdf,0,2026-03-06T08:35:20.470624+00:00
70,[서울]2025학년도 2022 개정 교육과정 선택 과목 안내서(낱장) (250529),정책/공문,pdf,0,2026-03-06T08:35:22.571846+00:00
71,초등학교 학부모 수학 가이드북(3학년1학기) (2),상담/학부모,pdf,0,2026-03-06T08:35:25.650102+00:00
72,4 v0721 바이오리포트 인체건강 최종,수업/교재,pdf,0,2026-03-06T08:35:27.38712+00:00
73,쎈(SEN)진학 2026 정시 대학별분석2 국가거점국립대학교 책갈피 추가 by 훈선생,입시/진학,pdf,0,2026-03-06T08:35:28.985818+00:00
74,[교육부] 진로연계교육 설계를 위한 디딤돌안내서 (고등학교),정책/공문,pdf,0,2026-03-06T08:35:30.78384+00:00
75,서울대 학생들의 과탐 선택 가이드 by 스튜디오 샤 20250218,수업/교재,pdf,0,2026-03-06T08:35:32.741923+00:00
76,대학입학 용어사전,수업/교재,pdf,0,2026-03-06T08:35:34.725121+00:00
77,2025 디지털 튜터 업무길라잡이,수업/교재,pdf,0,2026-03-06T08:35:36.543476+00:00
78,깊이있는 수업 소식 다함께 나누다(vol 3) 10월호,수업/교재,pdf,0,2026-03-06T08:35:38.617474+00:00
79,기계공학과 지망생을 위한 학년별 과목 선택 완벽 가이드 NotebookLM Slide,수업/교재,pdf,0,2026-03-06T08:35:40.49348+00:00
80,읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory) (1),수업/교재,pdf,0,2026-03-06T08:37:58.060425+00:00
81,읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory),수업/교재,pdf,0,2026-03-06T08:38:03.331688+00:00
82,전 세계 위인들이 인정한 역사상 최고의 천재 by 범준에 물리다 with 수학자 김상현 교수 20250531,수업/교재,pdf,0,2026-03-06T08:38:06.595472+00:00
83,나와 함께 준비하는 중학생활(수정본),수업/교재,pdf,0,2026-03-06T08:38:09.592132+00:00
84,2025 미리 보는 중학교 생활 「중학교 가는 길」,수업/교재,pdf,0,2026-03-06T08:38:12.478293+00:00
85,돈과 국가 신뢰의 200년,수업/교재,pdf,0,2026-03-06T08:38:14.970423+00:00
86,WTP Education 토론 주제 모음 매우 유용,수업/교재,docx,0,2026-03-06T08:38:17.583221+00:00
87,목숨이 걸린 상황에서 내가 살 수 있는 방법은 물리학 VS 수학 by 범준에 물리다 with 수학자 김상현 교수 20250524,수업/교재,pdf,0,2026-03-06T08:38:20.155543+00:00
88,선배들이 말하는 나의 학종 성공법,수업/교재,pdf,0,2026-03-06T08:38:22.582869+00:00
89,250121 조간 (보도) 인공지능 융합이 강조된 2025년 바이오 미래유망기술 발표,수업/교재,hwp,0,2026-03-06T08:38:25.116248+00:00
90,[특강] 필수현대시95선-기초속성 각론,수업/교재,hwp,0,2026-03-06T08:38:27.228982+00:00
91,서울대학교 환경에너지연구실 구성원 저서 및 추천 도서 20250302,수업/교재,pdf,0,2026-03-06T08:38:29.282911+00:00
92,1 v0721 바이오리포트 신약개발 최종,수업/교재,pdf,0,2026-03-06T08:38:31.382132+00:00
93,자율전공선발학생의 전공선택과 진로,수업/교재,pdf,0,2026-03-06T08:38:33.393402+00:00
94,생성형AI를 활용한 인사관리 4,수업/교재,pdf,0,2026-03-06T08:38:35.530995+00:00
95,(고등학교) 창체로 여는 길,수업/교재,pdf,0,2026-03-06T08:38:37.694288+00:00
96,AI 기술의 급속한 발달과 이미 시작된 주니어 소멸 by 세바시 강연 with 박태웅 녹서포럼 의장 20251229,수업/교재,pdf,0,2026-03-06T08:38:39.991075+00:00
97,나와 함께 준비하는 중학생활(최종본),수업/교재,pdf,0,2026-03-06T08:38:42.389598+00:00
98,2026 사탐런 고민중이라면 대학미래연구소 이재진 소장 20250217,수업/교재,pdf,0,2026-03-06T08:38:44.43+00:00
99,이용덕 강연 미래 꿈 도전 Nov 5 25 2025,수업/교재,pdf,0,2026-03-06T08:38:46.429395+00:00
100,2025 중앙대 교사 대상 결과 공유 세미나 20260208,수업/교재,pdf,0,2026-03-06T08:38:48.338034+00:00
101,[내지] 2025 북한인권백서(국문) 8차편집(수정) 웹용,수업/교재,pdf,0,2026-03-06T08:38:50.438433+00:00
102,AI 피드백 시스템 워크플로우,수업/교재,pdf,0,2026-03-06T08:38:52.778119+00:00
103,The Global Risks Report 2026 21st Edition World Economic Forum NotebookLM Slide,수업/교재,pdf,0,2026-03-06T08:38:54.733298+00:00
104,The state of enterprise AI 2025 report by Open AI 20251208,수업/교재,pdf,0,2026-03-06T08:38:56.668912+00:00
