priority,category_hint,src_path,dst_path,size_mb
3,기타,"/Volumes/Untitled/업로드 전/고등학생을 위한 진로연계교육(수능전)_서울특별시교육청.pdf","/Volumes/Untitled/업로드 후보_v2/기타/고등학생을_위한_진로연계교육(수능전)_서울특별시교육청.pdf",54.70
3,기타,"/Volumes/Untitled/업로드 전/홍제기/1.조직관리 제공자료_홍재기.zip","/Volumes/Untitled/업로드 후보_v2/기타/1.조직관리_제공자료_홍재기.zip",53.97
3,기타,"/Volumes/Untitled/업로드 전/250428_CIBM_케이스모킬러_리플렛_수정.pdf","/Volumes/Untitled/업로드 후보_v2/기타/250428_CIBM_케이스모킬러_리플렛_수정.pdf",53.78
3,기타,"/Volumes/Untitled/업로드 전/모두의 진로_수업 자료(PPT)_중학생용.zip","/Volumes/Untitled/업로드 후보_v2/기타/모두의_진로_수업_자료(PPT)_중학생용.zip",50.77
3,기타,"/Volumes/Untitled/업로드 전/[교과서] 고등 독서와 작문 - 해냄에듀.vol1.egg","/Volumes/Untitled/업로드 후보_v2/기타/[교과서]_고등_독서와_작문_-_해냄에듀.vol1.egg",50.00
3,기타,"/Volumes/Untitled/업로드 전/2026_수시_대학별_입학설명회_한양경희동국서강.pdf","/Volumes/Untitled/업로드 후보_v2/기타/2026_수시_대학별_입학설명회_한양경희동국서강.pdf",49.31
3,기타,"/Volumes/Untitled/업로드 전/[모두의 진로] 교사용 매뉴얼_중학교.pdf","/Volumes/Untitled/업로드 후보_v2/기타/[모두의_진로]_교사용_매뉴얼_중학교.pdf",48.67
3,기타,"/Volumes/Untitled/업로드 전/학교생활기록부 작성을 위한 최종 체크리스트- 별가람고 전소영.pdf","/Volumes/Untitled/업로드 후보_v2/기타/학교생활기록부_작성을_위한_최종_체크리스트-_별가람고_전소영.pdf",48.15
3,기타,"/Volumes/Untitled/업로드 전/1. [학생용] 고교학점제 워크북.pdf","/Volumes/Untitled/업로드 후보_v2/기타/1._[학생용]_고교학점제_워크북.pdf",47.97
3,기타,"/Volumes/Untitled/업로드 전/2024학년도 중1~3학년 학부모 대상 고교학점제 설명회 강의자료.pdf","/Volumes/Untitled/업로드 후보_v2/기타/2024학년도_중1~3학년_학부모_대상_고교학점제_설명회_강의자료.pdf",46.62
3,기타,"/Volumes/Untitled/업로드 전/행복한교육 2025년 가을호(낱장).pdf","/Volumes/Untitled/업로드 후보_v2/기타/행복한교육_2025년_가을호(낱장).pdf",46.56
3,기타,"/Volumes/Untitled/업로드 전/[현대시] 2권과제장.zip","/Volumes/Untitled/업로드 후보_v2/기타/[현대시]_2권과제장.zip",44.42
3,기타,"/Volumes/Untitled/업로드 전/수 감각 활동지.pdf","/Volumes/Untitled/업로드 후보_v2/기타/수_감각_활동지.pdf",43.59
3,기타,"/Volumes/Untitled/업로드 전/2026학년도 광주광역시_고등학교 입학전형 기본계획 설명회(학부모 대상).pdf","/Volumes/Untitled/업로드 후보_v2/기타/2026학년도_광주광역시_고등학교_입학전형_기본계획_설명회(학부모_대상).pdf",40.60
3,기타,"/Volumes/Untitled/업로드 전/읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory) (1).pdf","/Volumes/Untitled/업로드 후보_v2/기타/읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory)_(1).pdf",38.67
3,기타,"/Volumes/Untitled/업로드 전/읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory).pdf","/Volumes/Untitled/업로드 후보_v2/기타/읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory).pdf",38.67
3,기타,"/Volumes/Untitled/업로드 전/2026학년도_대수능_영어_듣기음원.zip","/Volumes/Untitled/업로드 후보_v2/기타/2026학년도_대수능_영어_듣기음원.zip",37.95
3,기타,"/Volumes/Untitled/업로드 전/[모두의 진로] 학생용 워크북_중학교_수정본.pdf","/Volumes/Untitled/업로드 후보_v2/기타/[모두의_진로]_학생용_워크북_중학교_수정본.pdf",36.22
3,기타,"/Volumes/Untitled/업로드 전/★(중학교)+2022+개정+교육과정+범교과+주제+적용+안내자료.hwp","/Volumes/Untitled/업로드 후보_v2/기타/★(중학교)+2022+개정+교육과정+범교과+주제+적용+안내자료.hwp",33.60
3,기타,"/Volumes/Untitled/업로드 전/[현대시] 1권과제장.zip","/Volumes/Untitled/업로드 후보_v2/기타/[현대시]_1권과제장.zip",32.37
3,기타,"/Volumes/Untitled/업로드 전/사서와 함께 행복한 책읽기_2025년 가을호_경기도교육청도서관.pdf","/Volumes/Untitled/업로드 후보_v2/기타/사서와_함께_행복한_책읽기_2025년_가을호_경기도교육청도서관.pdf",31.49
3,기타,"/Volumes/Untitled/업로드 전/3. [교사용] 고교학점제 워크북 수업연계활동자료.pdf","/Volumes/Untitled/업로드 후보_v2/기타/3._[교사용]_고교학점제_워크북_수업연계활동자료.pdf",31.42
3,기타,"/Volumes/Untitled/업로드 전/[교과서] 고등 독서와 작문 - 해냄에듀.vol2.egg","/Volumes/Untitled/업로드 후보_v2/기타/[교과서]_고등_독서와_작문_-_해냄에듀.vol2.egg",31.31
3,기타,"/Volumes/Untitled/업로드 전/2025학년도 2022 개정 교육과정 선택 과목  안내서 보조자료(PPT).pptx","/Volumes/Untitled/업로드 후보_v2/기타/2025학년도_2022_개정_교육과정_선택_과목_안내서_보조자료(PPT).pptx",31.17
3,기타,"/Volumes/Untitled/업로드 전/허재성대표님 강의_2주차.pdf","/Volumes/Untitled/업로드 후보_v2/기타/허재성대표님_강의_2주차.pdf",28.47
3,기타,"/Volumes/Untitled/업로드 전/[경상북도교육쳥] 중학교 경제교육 학습자료(2022).pdf","/Volumes/Untitled/업로드 후보_v2/기타/[경상북도교육쳥]_중학교_경제교육_학습자료(2022).pdf",28.11
3,기타,"/Volumes/Untitled/업로드 전/한국학원대 - 기적의 암기법 강의자료.pdf","/Volumes/Untitled/업로드 후보_v2/기타/한국학원대_-_기적의_암기법_강의자료.pdf",26.39
3,기타,"/Volumes/Untitled/업로드 전/전공이야기_1__기계공학.m4a","/Volumes/Untitled/업로드 후보_v2/기타/전공이야기_1_기계공학.m4a",26.32
3,기타,"/Volumes/Untitled/업로드 전/2026_수시_대학별_입학설명회_이화성균중앙건국.pdf","/Volumes/Untitled/업로드 후보_v2/기타/2026_수시_대학별_입학설명회_이화성균중앙건국.pdf",25.85
3,기타,"/Volumes/Untitled/업로드 전/초등학교 학부모 수학 가이드북(1학년1학기) (2).pdf","/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(1학년1학기)_(2).pdf",25.79
3,기타,"/Volumes/Untitled/업로드 전/런던 베이글 뮤지엄_시장 분석 및 미래 전략_by Felo Agent Report to PPT_20250818.pptx","/Volumes/Untitled/업로드 후보_v2/기타/런던_베이글_뮤지엄_시장_분석_및_미래_전략_by_Felo_Agent_Report_to_PPT_20250818.pptx",25.78
3,기타,"/Volumes/Untitled/업로드 전/★(고등학교)+2022+개정+교육과정+범교과+주제+적용+안내자료.hwp","/Volumes/Untitled/업로드 후보_v2/기타/★(고등학교)+2022+개정+교육과정+범교과+주제+적용+안내자료.hwp",25.34
3,기타,"/Volumes/Untitled/업로드 전/기계공학과 지망생을 위한 학년별 과목 선택 완벽 가이드_NotebookLM Audio Overview.m4a","/Volumes/Untitled/업로드 후보_v2/기타/기계공학과_지망생을_위한_학년별_과목_선택_완벽_가이드_NotebookLM_Audio_Overview.m4a",25.32
3,기타,"/Volumes/Untitled/업로드 전/01. 2022 연수자료_창의적 체험활동_초중 공통.pptx","/Volumes/Untitled/업로드 후보_v2/기타/01._2022_연수자료_창의적_체험활동_초중_공통.pptx",25.29
3,기타,"/Volumes/Untitled/업로드 전/2028 대학별 권장 이수 과목.zip","/Volumes/Untitled/업로드 후보_v2/기타/2028_대학별_권장_이수_과목.zip",25.05
3,기타,"/Volumes/Untitled/업로드 전/초등학교 학부모 수학 가이드북(4학년1학기) (2).pdf","/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(4학년1학기)_(2).pdf",25.00
3,기타,"/Volumes/Untitled/업로드 전/(이투스) 고3_2026학년도 9월모평 상위누적(실채점)_밴드용.xls","/Volumes/Untitled/업로드 후보_v2/기타/(이투스)_고3_2026학년도_9월모평_상위누적(실채점)_밴드용.xls",24.98
