path,filename,ext,size_mb,category_hint,priority
"/Volumes/Untitled/업로드 전/학교생활기록부 작성을 위한 최종 체크리스트- 별가람고 전소영.pdf","학교생활기록부 작성을 위한 최종 체크리스트- 별가람고 전소영.pdf",pdf,48.15,"기타",3
"/Volumes/Untitled/업로드 전/1. [학생용] 고교학점제 워크북.pdf","1. [학생용] 고교학점제 워크북.pdf",pdf,47.97,"기타",3
"/Volumes/Untitled/업로드 전/2024학년도 중1~3학년 학부모 대상 고교학점제 설명회 강의자료.pdf","2024학년도 중1~3학년 학부모 대상 고교학점제 설명회 강의자료.pdf",pdf,46.62,"기타",3
"/Volumes/Untitled/업로드 전/행복한교육 2025년 가을호(낱장).pdf","행복한교육 2025년 가을호(낱장).pdf",pdf,46.56,"기타",3
"/Volumes/Untitled/업로드 전/[현대시] 2권과제장.zip","[현대시] 2권과제장.zip",zip,44.42,"기타",3
"/Volumes/Untitled/업로드 전/수 감각 활동지.pdf","수 감각 활동지.pdf",pdf,43.59,"기타",3
"/Volumes/Untitled/업로드 전/2026학년도 광주광역시_고등학교 입학전형 기본계획 설명회(학부모 대상).pdf","2026학년도 광주광역시_고등학교 입학전형 기본계획 설명회(학부모 대상).pdf",pdf,40.60,"기타",3
"/Volumes/Untitled/업로드 전/읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory) (1).pdf","읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory) (1).pdf",pdf,38.67,"기타",3
"/Volumes/Untitled/업로드 전/읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory).pdf","읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory).pdf",pdf,38.67,"기타",3
"/Volumes/Untitled/업로드 전/2026학년도_대수능_영어_듣기음원.zip","2026학년도_대수능_영어_듣기음원.zip",zip,37.95,"기타",3
