rank,priority,category_hint,title,file_type,size_mb,candidate_path
32,3,기타,"읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory) (1)",pdf,38.67,"/Volumes/Untitled/업로드 후보_v2/기타/읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory)_(1).pdf"
33,3,기타,"읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory)",pdf,38.67,"/Volumes/Untitled/업로드 후보_v2/기타/읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory).pdf"
34,3,수업_교재,"[모두의 진로] 학생용 워크북 중학교 수정본",pdf,36.22,"/Volumes/Untitled/업로드 후보_v2/기타/[모두의_진로]_학생용_워크북_중학교_수정본.pdf"
35,3,정책_공문,"★(중학교)+2022+개정+교육과정+범교과+주제+적용+안내자료",hwp,33.60,"/Volumes/Untitled/업로드 후보_v2/기타/★(중학교)+2022+개정+교육과정+범교과+주제+적용+안내자료.hwp"
36,3,정책_공문,"사서와 함께 행복한 책읽기 2025년 가을호 경기도교육청도서관",pdf,31.49,"/Volumes/Untitled/업로드 후보_v2/기타/사서와_함께_행복한_책읽기_2025년_가을호_경기도교육청도서관.pdf"
37,3,정책_공문,"3. [교사용] 고교학점제 워크북 수업연계활동자료",pdf,31.42,"/Volumes/Untitled/업로드 후보_v2/기타/3._[교사용]_고교학점제_워크북_수업연계활동자료.pdf"
38,3,정책_공문,"2025학년도 2022 개정 교육과정 선택 과목 안내서 보조자료(PPT)",pptx,31.17,"/Volumes/Untitled/업로드 후보_v2/기타/2025학년도_2022_개정_교육과정_선택_과목_안내서_보조자료(PPT).pptx"
39,3,수업_교재,"허재성대표님 강의 2주차",pdf,28.47,"/Volumes/Untitled/업로드 후보_v2/기타/허재성대표님_강의_2주차.pdf"
40,3,수업_교재,"[경상북도교육쳥] 중학교 경제교육 학습자료(2022)",pdf,28.11,"/Volumes/Untitled/업로드 후보_v2/기타/[경상북도교육쳥]_중학교_경제교육_학습자료(2022).pdf"
41,3,수업_교재,"한국학원대 - 기적의 암기법 강의자료",pdf,26.39,"/Volumes/Untitled/업로드 후보_v2/기타/한국학원대_-_기적의_암기법_강의자료.pdf"
42,3,입시_진학,"2026 수시 대학별 입학설명회 이화성균중앙건국",pdf,25.85,"/Volumes/Untitled/업로드 후보_v2/기타/2026_수시_대학별_입학설명회_이화성균중앙건국.pdf"
43,3,상담_학부모,"초등학교 학부모 수학 가이드북(1학년1학기) (2)",pdf,25.79,"/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(1학년1학기)_(2).pdf"
44,3,데이터_분석,"런던 베이글 뮤지엄 시장 분석 및 미래 전략 by Felo Agent Report to PPT 20250818",pptx,25.78,"/Volumes/Untitled/업로드 후보_v2/기타/런던_베이글_뮤지엄_시장_분석_및_미래_전략_by_Felo_Agent_Report_to_PPT_20250818.pptx"
45,3,정책_공문,"★(고등학교)+2022+개정+교육과정+범교과+주제+적용+안내자료",hwp,25.34,"/Volumes/Untitled/업로드 후보_v2/기타/★(고등학교)+2022+개정+교육과정+범교과+주제+적용+안내자료.hwp"
46,3,기타,"01. 2022 연수자료 창의적 체험활동 초중 공통",pptx,25.29,"/Volumes/Untitled/업로드 후보_v2/기타/01._2022_연수자료_창의적_체험활동_초중_공통.pptx"
47,3,상담_학부모,"초등학교 학부모 수학 가이드북(4학년1학기) (2)",pdf,25.00,"/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(4학년1학기)_(2).pdf"
48,3,기타,"(이투스) 고3 2026학년도 9월모평 상위누적(실채점) 밴드용",xlsx,24.98,"/Volumes/Untitled/업로드 후보_v2/기타/(이투스)_고3_2026학년도_9월모평_상위누적(실채점)_밴드용.xls"
49,3,상담_학부모,"초등학교 학부모 수학 가이드북(4학년2학기) (2)",pdf,24.19,"/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(4학년2학기)_(2).pdf"
50,3,상담_학부모,"2026자연계열 자연계열 제시문 면접준비",pdf,23.93,"/Volumes/Untitled/업로드 후보_v2/기타/2026자연계열_자연계열_제시문_면접준비.pdf"
